,institutional,popular_media,critical_media,divergence,dominant_register
affiliation,0.0361512440491626,0.0,0.017765875817151024,0.0361512440491626,institutional
benefit,0.0,0.01682719967279107,0.01200198132850395,0.01682719967279107,popular_media
cash,0.0,0.03456638217433915,0.01275295245148692,0.03456638217433915,popular_media
cash contract,0.0,0.016346445662691955,0.0,0.016346445662691955,popular_media
cash wage,0.0,0.006380810326711753,0.0059731056351318736,0.006380810326711753,popular_media
compliance,0.0397438169487957,0.0,0.006093702848211574,0.0397438169487957,institutional
contract,0.026151228057515522,0.05201567202482029,0.04784735824688465,0.02586444396730477,popular_media
contract earn,0.0,0.020957880319709844,0.0,0.020957880319709844,popular_media
contract pay,0.0,0.017763772674618143,0.0,0.017763772674618143,popular_media
contractor,0.0,0.0,0.022183355692772234,0.022183355692772234,critical_media
contribution,0.04213855910868149,0.0,0.07703520854186137,0.07703520854186137,critical_media
contribution cost,0.009181914492041893,0.0,0.009528415310240058,0.009528415310240058,critical_media
contribution obligation,0.006360700192659595,0.0,0.005554885741428373,0.006360700192659595,institutional
cooperative,0.0,0.0,0.029696157421309103,0.029696157421309103,critical_media
cost,0.011534713079956653,0.03393237553460133,0.042194481016569134,0.03065976793661248,critical_media
cost formal,0.00700769206543126,0.0,0.010016038847322589,0.010016038847322589,critical_media
coverage,0.024669549660379028,0.013033205186142182,0.012121859688664085,0.012547689971714944,institutional
coverage informal,0.0,0.0,0.015450106932212382,0.015450106932212382,critical_media
coverage worker,0.017464488392278096,0.0,0.0,0.017464488392278096,institutional
daily,0.0,0.027905209983765347,0.010750989460883523,0.027905209983765347,popular_media
daily cash,0.0,0.012508964039092917,0.00563616558749996,0.012508964039092917,popular_media
dane,0.0,0.0,0.025740416235859365,0.025740416235859365,critical_media
document,0.0,0.00556393681743709,0.06228802836763805,0.06228802836763805,critical_media
document worker,0.0,0.0,0.01841505506415537,0.01841505506415537,critical_media
domestic,0.017892300566595524,0.005482550013562874,0.023455761289224643,0.017973211275661767,critical_media
domestic worker,0.005795225391045556,0.0062879362562483325,0.013639363722553288,0.007844138331507731,critical_media
earn,0.0,0.08341613175352372,0.010866428013067003,0.08341613175352372,popular_media
earn daily,0.0,0.014096415838579724,0.0,0.014096415838579724,popular_media
earn guarantee,0.0,0.0177048603583558,0.0,0.0177048603583558,popular_media
earn saving,0.0,0.016939004142361262,0.0,0.016939004142361262,popular_media
earning,0.020565910659893757,0.01394020607949279,0.0,0.020565910659893757,institutional
employee,0.015438725276094096,0.008131284246808633,0.018299599696575925,0.010168315449767292,critical_media
employer,0.03182212995481967,0.019628516652189742,0.0140402423176472,0.01778188763717247,institutional
employer contribution,0.01019740768431054,0.0,0.005554885741428373,0.01019740768431054,institutional
employment,0.1366683933486104,0.026889825326866127,0.0640604637773678,0.10977856802174427,institutional
employment compliance,0.015850121474911924,0.0,0.0,0.015850121474911924,institutional
employment contract,0.01933917974072567,0.006260422190536147,0.0,0.01933917974072567,institutional
employment employer,0.010196244536478594,0.009264006519314224,0.0,0.010196244536478594,institutional
employment formal,0.019318517019047663,0.0,0.009293707529566578,0.019318517019047663,institutional
employment informal,0.014919351869595199,0.0,0.0,0.014919351869595199,institutional
employment labor,0.027814787530546108,0.0,0.011174164299442192,0.027814787530546108,institutional
employment regulatory,0.0,0.0,0.01654312603265059,0.01654312603265059,critical_media
employment worker,0.027858045876078923,0.0,0.01696350926316365,0.027858045876078923,institutional
evidence,0.02088506839458626,0.0,0.016577665945412542,0.02088506839458626,institutional
evidence informal,0.014763756716865277,0.0,0.0,0.014763756716865277,institutional
food,0.0,0.038426842605016595,0.007181688897108096,0.038426842605016595,popular_media
formal,0.08701845773275116,0.03899486785296379,0.06339974945163096,0.048023589879787366,institutional
formal contract,0.013930528549585656,0.007884306590492893,0.0,0.013930528549585656,institutional
formal employment,0.06560497222299143,0.005729235594733328,0.04144564717432137,0.0598757366282581,institutional
formal job,0.008680393235606659,0.006634681413109983,0.0,0.008680393235606659,institutional
formal labor,0.012351859393003768,0.0,0.012721886884917034,0.012721886884917034,critical_media
formal wage,0.018179212591218515,0.0,0.0,0.018179212591218515,institutional
formality,0.07046740380841181,0.0,0.004255696977744956,0.07046740380841181,institutional
formalization,0.0235570166059627,0.0,0.051366413191401075,0.051366413191401075,critical_media
government,0.0,0.0073201951006028375,0.03945624616508381,0.03945624616508381,critical_media
government contribution,0.0,0.0,0.013581983444788589,0.013581983444788589,critical_media
guarantee,0.0,0.0312335798098987,0.018154569965251072,0.0312335798098987,popular_media
guarantee income,0.0,0.01975178933304617,0.0,0.01975178933304617,popular_media
health,0.025251238731474317,0.03415111752442708,0.011751214958738503,0.02239990256568858,popular_media
health coverage,0.007112936156966139,0.015674619891409336,0.0,0.015674619891409336,popular_media
health informal,0.011175370250106854,0.0,0.009890253974978096,0.011175370250106854,institutional
health pension,0.015170158336588021,0.0,0.0,0.015170158336588021,institutional
hour,0.005597078082519025,0.02973508791983023,0.0,0.02973508791983023,popular_media
ilo,0.019206425416900066,0.0,0.01640077567780738,0.019206425416900066,institutional
income,0.02525348308126619,0.06342506194184018,0.0,0.06342506194184018,popular_media
income informal,0.01913841576348513,0.008809651790377316,0.0,0.01913841576348513,institutional
informal,0.10795322901161726,0.0729961560931606,0.08083367772913132,0.034957072918456664,institutional
informal employment,0.08417224082369293,0.0,0.027488065187344143,0.08417224082369293,institutional
informal formal,0.014162669967005315,0.01546075815779665,0.006649085343000603,0.008811672814796048,popular_media
informal job,0.008949924528759668,0.009336308512538484,0.0,0.009336308512538484,popular_media
informal market,0.0,0.0,0.013440718428931376,0.013440718428931376,critical_media
informal pay,0.0,0.02626076796374098,0.0,0.02626076796374098,popular_media
informal street,0.0,0.020216148739247996,0.0,0.020216148739247996,popular_media
informal wage,0.005864158341036584,0.0,0.01227295284334624,0.01227295284334624,critical_media
informal work,0.0,0.048796054637195246,0.0,0.048796054637195246,popular_media
informal worker,0.06353734133247721,0.009275756826383295,0.05234566185049995,0.05426158450609392,institutional
informality,0.05713025373295138,0.0,0.05877054777022963,0.05877054777022963,critical_media
informality formalization,0.0,0.0,0.019863713571436473,0.019863713571436473,critical_media
informality labor,0.024776507778086057,0.0,0.0,0.024776507778086057,institutional
informality ministry,0.0,0.0,0.01683727827628604,0.01683727827628604,critical_media
informality worker,0.019134330518675153,0.0,0.0,0.019134330518675153,institutional
inspector,0.006892902723430078,0.0,0.022395430758011217,0.022395430758011217,critical_media
job,0.01383241159066903,0.03880780104384699,0.006789648582881033,0.03201815246096596,popular_media
job informal,0.0,0.007295902940521565,0.008653853396418667,0.008653853396418667,critical_media
labor,0.0724566317150465,0.006403963673784055,0.13867368510225067,0.1322697214284666,critical_media
labor compliance,0.00938935385917357,0.0,0.007544735015124075,0.00938935385917357,institutional
labor cost,0.00700769206543126,0.0,0.005554885741428373,0.00700769206543126,institutional
labor document,0.0,0.0,0.012928212664226202,0.012928212664226202,critical_media
labor domestic,0.006440313969899819,0.0,0.00828235066548242,0.00828235066548242,critical_media
labor formality,0.02447327564126371,0.0,0.005374814582316394,0.02447327564126371,institutional
labor informality,0.009232936678646752,0.0,0.004997782568965857,0.009232936678646752,institutional
labor inspector,0.007228070946968054,0.0,0.016365271169075452,0.016365271169075452,critical_media
labor labor,0.0,0.0,0.028141402857541034,0.028141402857541034,critical_media
labor market,0.041450377960382576,0.005437146709168563,0.010953905838980604,0.036013231251214015,institutional
labor protection,0.01639791043746365,0.0,0.006911281715886016,0.01639791043746365,institutional
labor reform,0.0,0.0,0.030983045230171865,0.030983045230171865,critical_media
labor worker,0.011318671739421908,0.0,0.009077876848840706,0.011318671739421908,institutional
law,0.0,0.0,0.014654298772611237,0.014654298772611237,critical_media
leave,0.0,0.0338853945570384,0.012052937391913933,0.0338853945570384,popular_media
market,0.0360792978680196,0.029097457365636115,0.027673177292413347,0.00840612057560625,institutional
market formal,0.007635401137597582,0.0,0.006754329032233547,0.007635401137597582,institutional
market informal,0.0,0.0,0.014864248206485908,0.014864248206485908,critical_media
market vendor,0.0,0.00890891616833317,0.007262745991673134,0.00890891616833317,popular_media
migrant,0.006440313969899819,0.0,0.005149176398285045,0.006440313969899819,institutional
ministry,0.0,0.0,0.030802205810150703,0.030802205810150703,critical_media
municipality,0.009065348228654974,0.0,0.007944305765692643,0.009065348228654974,institutional
obligation,0.01439220870783314,0.0,0.02069028737021512,0.02069028737021512,critical_media
obligation worker,0.0,0.0,0.01249236496827901,0.01249236496827901,critical_media
pay,0.0,0.0961944611823242,0.0,0.0961944611823242,popular_media
pay cash,0.0,0.027715262559430028,0.0,0.027715262559430028,popular_media
pension,0.028371706728021584,0.05877368745991203,0.019048196124896503,0.03972549133501553,popular_media
pension saving,0.0,0.023013275136408384,0.0,0.023013275136408384,popular_media
platform,0.007309636295565543,0.0,0.031523899379268035,0.031523899379268035,critical_media
platform work,0.008459387946954324,0.0,0.007129949440725235,0.008459387946954324,institutional
policy,0.009406378253551945,0.0,0.008461981465696182,0.009406378253551945,institutional
protection,0.028509910477756348,0.011582572436814409,0.01601648964154978,0.016927338040941937,institutional
protection coverage,0.01241878322453805,0.0,0.0,0.01241878322453805,institutional
reform,0.006088392516422742,0.0,0.0402884979741067,0.0402884979741067,critical_media
reform contribution,0.0,0.0,0.017905286684631073,0.017905286684631073,critical_media
register,0.0,0.0,0.017869987755911833,0.017869987755911833,critical_media
registration,0.0394032219417109,0.0,0.024775922728033684,0.0394032219417109,institutional
regulatory,0.007053940241877612,0.0,0.030015026727970042,0.030015026727970042,critical_media
regulatory informality,0.0,0.0,0.011752111601199404,0.011752111601199404,critical_media
repair,0.0,0.02450708897236438,0.0,0.02450708897236438,popular_media
reveal,0.03552496937991426,0.0,0.0,0.03552496937991426,institutional
reveal informal,0.017029435796681147,0.0,0.0,0.017029435796681147,institutional
rural,0.01696678532227228,0.019354231371472082,0.02875860519825154,0.01179181987597926,critical_media
rural labor,0.006039254202575891,0.0,0.01919037588427274,0.01919037588427274,critical_media
rural urban,0.016055585365998402,0.0,0.0,0.016055585365998402,institutional
saving,0.0,0.0500898844703351,0.0,0.0500898844703351,popular_media
sell,0.0,0.12201065778219139,0.0,0.12201065778219139,popular_media
sell earn,0.0,0.020095198328431506,0.0,0.020095198328431506,popular_media
sell food,0.0,0.015862920988445682,0.0,0.015862920988445682,popular_media
severance,0.00776827091036637,0.0,0.011452351365254698,0.011452351365254698,critical_media
statutory,0.026396259319295266,0.0,0.00977216095366141,0.026396259319295266,institutional
statutory threshold,0.0137467401650046,0.0,0.0,0.0137467401650046,institutional
street,0.015147332354601395,0.07825950652469454,0.0,0.07825950652469454,popular_media
street pension,0.0,0.01717032715008224,0.0,0.01717032715008224,popular_media
street tip,0.0,0.01902203751435291,0.0,0.01902203751435291,popular_media
structural,0.015859263877987497,0.0,0.004715860031561389,0.015859263877987497,institutional
threshold,0.012369809611872023,0.0,0.01680031087641663,0.01680031087641663,critical_media
tip,0.0,0.03782481960411789,0.0,0.03782481960411789,popular_media
urban,0.026543779761336386,0.0,0.011207669538281428,0.026543779761336386,institutional
urban formal,0.006122527691276301,0.0,0.0061779724372582395,0.0061779724372582395,critical_media
vendor,0.0,0.0304007651376159,0.006275635074204234,0.0304007651376159,popular_media
vendor work,0.0,0.015819235648898138,0.0,0.015819235648898138,popular_media
wage,0.028087348622480066,0.014482767118032817,0.03527980356853733,0.02079703645050451,critical_media
wage benefit,0.0,0.0,0.013337967516479143,0.013337967516479143,critical_media
wage informal,0.007125911392705722,0.0,0.005878259982459656,0.007125911392705722,institutional
wage labor,0.006612391489391126,0.0,0.010877702866564264,0.010877702866564264,critical_media
woman,0.010563185288535733,0.05026846532248968,0.005289663609240643,0.044978801713249035,popular_media
woman earn,0.0,0.017751704862354535,0.0,0.017751704862354535,popular_media
woman rural,0.006122527691276301,0.0,0.00709800090844528,0.00709800090844528,critical_media
woman sell,0.0,0.042946494999007837,0.0,0.042946494999007837,popular_media
work,0.027049070030798462,0.09125369263395952,0.026574414385850786,0.06467927824810873,popular_media
work earn,0.0,0.02418292932364386,0.0,0.02418292932364386,popular_media
work employment,0.0,0.006380810326711753,0.007129949440725235,0.007129949440725235,critical_media
work formal,0.0,0.011487935388041846,0.010083241346453707,0.011487935388041846,popular_media
work hour,0.0,0.025426139173382878,0.0,0.025426139173382878,popular_media
worker,0.12022863552733352,0.022038231189703193,0.1049127795635954,0.09819040433763034,institutional
worker contribution,0.008967592605491854,0.0,0.009528415310240058,0.009528415310240058,critical_media
worker daily,0.0,0.006380810326711753,0.006919942440793263,0.006919942440793263,critical_media
worker earn,0.0,0.0,0.011602767936014136,0.011602767936014136,critical_media
worker employer,0.006477457010843024,0.009063279531142042,0.0,0.009063279531142042,popular_media
worker employment,0.02349030896951436,0.0,0.008126757534664806,0.02349030896951436,institutional
worker formal,0.03289952888899093,0.0,0.017752804970984866,0.03289952888899093,institutional
worker health,0.015425456957418123,0.0,0.005546670132979453,0.015425456957418123,institutional
worker informal,0.004828667282801211,0.0,0.03796968105792638,0.03796968105792638,critical_media
worker informality,0.015975520608397183,0.0,0.011215161469445229,0.015975520608397183,institutional
worker structural,0.016807359004629527,0.0,0.0,0.016807359004629527,institutional
worker worker,0.007604264147729004,0.00900214304646823,0.0,0.00900214304646823,popular_media
